city,top_feature_1,top_feature_1_value,top_feature_2,top_feature_2_value,top_feature_3,top_feature_3_value,query,retrieved_programs,recommendation
Artesia,min_temp_forecast,-0.1170782294584414,household_income,-0.0935787471697043,avg_annual_energy_cost,-0.0819895896513991,"Programs for unusual overnight temperatures, low household income, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Artesia, the most influential SHAP factors include unusual overnight temperatures, low household income, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Arvin,household_income,0.3125221870769898,min_temp_forecast,0.1883755986873584,avg_annual_energy_cost,0.087443665188669,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Arvin, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Atascadero,household_income,-0.2501159403349069,min_temp_forecast,0.134206761387642,avg_annual_energy_cost,-0.1134292745381008,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Atascadero, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Atherton,household_income,-0.2779858651894089,avg_temp_forecast,-0.0327562125096352,min_temp_forecast,0.0275568358676817,"Programs for low household income, high forecast temperature, unusual overnight temperatures",CARE and FERA Utility Discount Programs; Low Income Home Energy Assistance Program (LIHEAP),"For Atherton, the most influential SHAP factors include low household income, high forecast temperature, unusual overnight temperatures. Based on the retrieved policy context, programs such as CARE and FERA Utility Discount Programs and Low Income Home Energy Assistance Program (LIHEAP) may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Atwater,household_income,0.3233657763958513,min_temp_forecast,0.1836867089951792,avg_annual_energy_cost,0.0850764095994306,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Atwater, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Auburn,min_temp_forecast,0.2166783743051586,household_income,0.1350177989212638,avg_annual_energy_cost,0.1218165765816546,"Programs for unusual overnight temperatures, low household income, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Auburn, the most influential SHAP factors include unusual overnight temperatures, low household income, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Avalon,household_income,-0.1213159502846733,min_temp_forecast,-0.1131583323616126,avg_annual_energy_cost,-0.0741741071937712,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Avalon, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Avenal,household_income,0.3313509651434178,avg_annual_energy_cost,0.1527250854719825,min_temp_forecast,0.1450758526969527,"Programs for low household income, high annual energy cost, unusual overnight temperatures",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Avenal, the most influential SHAP factors include low household income, high annual energy cost, unusual overnight temperatures. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Azusa,avg_annual_energy_cost,-0.154282381626175,min_temp_forecast,-0.1368823539247891,avg_temp_forecast,-0.0622341383134152,"Programs for high annual energy cost, unusual overnight temperatures, high forecast temperature",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Azusa, the most influential SHAP factors include high annual energy cost, unusual overnight temperatures, high forecast temperature. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Bakersfield,household_income,0.2416458131206957,min_temp_forecast,0.1724833427476775,avg_annual_energy_cost,0.1668584642044184,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Bakersfield, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Baldwin Park,min_temp_forecast,-0.142728611806385,avg_annual_energy_cost,-0.1218807968001898,household_income,0.1023151562777664,"Programs for unusual overnight temperatures, high annual energy cost, low household income",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Baldwin Park, the most influential SHAP factors include unusual overnight temperatures, high annual energy cost, low household income. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Banning,household_income,0.3950643748986137,avg_annual_energy_cost,0.1539718716778878,avg_temp_forecast,0.0177923022352992,"Programs for low household income, high annual energy cost, high forecast temperature",CARE and FERA Utility Discount Programs; Energy Savings Assistance (ESA) Program,"For Banning, the most influential SHAP factors include low household income, high annual energy cost, high forecast temperature. Based on the retrieved policy context, programs such as CARE and FERA Utility Discount Programs and Energy Savings Assistance (ESA) Program may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Barstow,household_income,0.3485676939164537,avg_annual_energy_cost,0.1578776315352098,min_temp_forecast,0.1098067675899851,"Programs for low household income, high annual energy cost, unusual overnight temperatures",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Barstow, the most influential SHAP factors include low household income, high annual energy cost, unusual overnight temperatures. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Beaumont,household_income,0.2486568695090014,avg_annual_energy_cost,0.1279538966294809,min_temp_forecast,0.1132779445458895,"Programs for low household income, high annual energy cost, unusual overnight temperatures",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Beaumont, the most influential SHAP factors include low household income, high annual energy cost, unusual overnight temperatures. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Bell,avg_annual_energy_cost,-0.1887596428320648,household_income,0.1859770032927765,min_temp_forecast,-0.1592957261568528,"Programs for high annual energy cost, low household income, unusual overnight temperatures",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Bell, the most influential SHAP factors include high annual energy cost, low household income, unusual overnight temperatures. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Bellflower,avg_annual_energy_cost,-0.1608092868177861,min_temp_forecast,-0.1561823682971741,household_income,0.1012619207475619,"Programs for high annual energy cost, unusual overnight temperatures, low household income",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Bellflower, the most influential SHAP factors include high annual energy cost, unusual overnight temperatures, low household income. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Bell Gardens,avg_annual_energy_cost,-0.1886027372376592,household_income,0.1879388539421272,min_temp_forecast,-0.1591086840323106,"Programs for high annual energy cost, low household income, unusual overnight temperatures",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Bell Gardens, the most influential SHAP factors include high annual energy cost, low household income, unusual overnight temperatures. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Belmont,household_income,-0.2576358694481658,avg_annual_energy_cost,0.0526216439178935,min_temp_forecast,-0.0249129401613549,"Programs for low household income, high annual energy cost, unusual overnight temperatures",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Belmont, the most influential SHAP factors include low household income, high annual energy cost, unusual overnight temperatures. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Benicia,household_income,-0.2529359405474962,avg_annual_energy_cost,0.0684899697892681,min_temp_forecast,-0.0632342395532066,"Programs for low household income, high annual energy cost, unusual overnight temperatures",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Benicia, the most influential SHAP factors include low household income, high annual energy cost, unusual overnight temperatures. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Berkeley,household_income,-0.1849725914799469,avg_annual_energy_cost,-0.0703192914445807,min_temp_forecast,-0.0631997574563381,"Programs for low household income, high annual energy cost, unusual overnight temperatures",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Berkeley, the most influential SHAP factors include low household income, high annual energy cost, unusual overnight temperatures. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Beverly Hills,household_income,-0.2037749588893279,min_temp_forecast,-0.1083241547046902,avg_temp_forecast,-0.0402210535844105,"Programs for low household income, unusual overnight temperatures, high forecast temperature",CARE and FERA Utility Discount Programs; Low Income Home Energy Assistance Program (LIHEAP),"For Beverly Hills, the most influential SHAP factors include low household income, unusual overnight temperatures, high forecast temperature. Based on the retrieved policy context, programs such as CARE and FERA Utility Discount Programs and Low Income Home Energy Assistance Program (LIHEAP) may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Big Bear Lake,min_temp_forecast,0.2297172488694779,household_income,0.153868509168941,avg_annual_energy_cost,0.0940754049564608,"Programs for unusual overnight temperatures, low household income, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Big Bear Lake, the most influential SHAP factors include unusual overnight temperatures, low household income, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Bishop,household_income,0.2951886371764243,min_temp_forecast,0.1971649202194075,avg_annual_energy_cost,0.08289139291384,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Bishop, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Blythe,household_income,0.3101595790150175,avg_annual_energy_cost,0.1344584910480796,min_temp_forecast,-0.0839096401644963,"Programs for low household income, high annual energy cost, unusual overnight temperatures",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Blythe, the most influential SHAP factors include low household income, high annual energy cost, unusual overnight temperatures. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Brawley,household_income,0.3245915496293803,avg_temp_forecast,0.0861535217681744,max_temp_forecast,0.0777405925477526,"Programs for low household income, high forecast temperature, extreme heat",CARE and FERA Utility Discount Programs; Low Income Home Energy Assistance Program (LIHEAP),"For Brawley, the most influential SHAP factors include low household income, high forecast temperature, extreme heat. Based on the retrieved policy context, programs such as CARE and FERA Utility Discount Programs and Low Income Home Energy Assistance Program (LIHEAP) may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Brea,household_income,-0.2039548956781108,min_temp_forecast,-0.0976092938441152,avg_temp_forecast,-0.039312046286732,"Programs for low household income, unusual overnight temperatures, high forecast temperature",CARE and FERA Utility Discount Programs; Low Income Home Energy Assistance Program (LIHEAP),"For Brea, the most influential SHAP factors include low household income, unusual overnight temperatures, high forecast temperature. Based on the retrieved policy context, programs such as CARE and FERA Utility Discount Programs and Low Income Home Energy Assistance Program (LIHEAP) may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Brentwood,household_income,-0.2336505917921017,min_temp_forecast,-0.0808119893939104,avg_temp_forecast,-0.0211676891287795,"Programs for low household income, unusual overnight temperatures, high forecast temperature",CARE and FERA Utility Discount Programs; Low Income Home Energy Assistance Program (LIHEAP),"For Brentwood, the most influential SHAP factors include low household income, unusual overnight temperatures, high forecast temperature. Based on the retrieved policy context, programs such as CARE and FERA Utility Discount Programs and Low Income Home Energy Assistance Program (LIHEAP) may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Brisbane,household_income,-0.1886539644936369,min_temp_forecast,-0.0779780549306043,avg_annual_energy_cost,-0.0517915291425163,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Brisbane, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Buellton,household_income,-0.2397840720901026,min_temp_forecast,0.1134531012710906,avg_annual_energy_cost,-0.1044524364935303,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Buellton, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Buena Park,household_income,-0.1515373512622589,min_temp_forecast,-0.0930997897694754,avg_annual_energy_cost,-0.0579970512124102,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Buena Park, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Burbank,household_income,-0.1334678986920366,min_temp_forecast,-0.0888369662114433,avg_annual_energy_cost,-0.0802624762875299,"Programs for low household income, unusual overnight temperatures, high annual energy cost",Energy Savings Assistance (ESA) Program; CARE and FERA Utility Discount Programs,"For Burbank, the most influential SHAP factors include low household income, unusual overnight temperatures, high annual energy cost. Based on the retrieved policy context, programs such as Energy Savings Assistance (ESA) Program and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Burlingame,household_income,-0.2445886949032817,min_temp_forecast,-0.0647029687140751,avg_temp_forecast,-0.0218082297495958,"Programs for low household income, unusual overnight temperatures, high forecast temperature",CARE and FERA Utility Discount Programs; Low Income Home Energy Assistance Program (LIHEAP),"For Burlingame, the most influential SHAP factors include low household income, unusual overnight temperatures, high forecast temperature. Based on the retrieved policy context, programs such as CARE and FERA Utility Discount Programs and Low Income Home Energy Assistance Program (LIHEAP) may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
Calabasas,household_income,-0.2394835177428809,min_temp_forecast,-0.082310445811743,max_temp_forecast,-0.013032176895039,"Programs for low household income, unusual overnight temperatures, extreme heat",Low Income Home Energy Assistance Program (LIHEAP); CARE and FERA Utility Discount Programs,"For Calabasas, the most influential SHAP factors include low household income, unusual overnight temperatures, extreme heat. Based on the retrieved policy context, programs such as Low Income Home Energy Assistance Program (LIHEAP) and CARE and FERA Utility Discount Programs may help reduce energy bill pressure, support income-qualified households, and improve resilience during periods of temperature-related energy stress."
